tick,timestamp,weather_pattern,tariff,inflow,simulation_30_min_cost,optimizer_12_hour_cost,cost_delta_12h_minus_30m,simulation_30_min_ending_volume,optimizer_12_hour_ending_volume,simulation_30_min_pumped,optimizer_12_hour_pumped,simulation_30_min_warnings,optimizer_12_hour_warnings
1262,2026-06-27T06:30:00+00:00,wet,257.37,5.23,1029.48,0.00,-1029.48,232.24,232.24,4.00,0.00,,
1263,2026-06-27T07:00:00+00:00,wet,257.37,5.43,1029.48,1029.48,0.00,233.67,233.67,4.00,4.00,,
1264,2026-06-27T07:30:00+00:00,wet,257.37,5.14,1029.48,3088.44,2058.96,234.81,226.81,4.00,12.00,,
1265,2026-06-27T08:00:00+00:00,wet,282.66,5.05,2261.28,0.00,-2261.28,231.86,231.86,8.00,0.00,,
1266,2026-06-27T08:30:00+00:00,wet,282.66,5.11,1130.64,1130.64,0.00,232.97,232.97,4.00,4.00,,
1267,2026-06-27T09:00:00+00:00,wet,282.66,5.08,1130.64,1130.64,0.00,234.05,234.05,4.00,4.00,,
1268,2026-06-27T09:30:00+00:00,wet,282.66,5.57,2261.28,2261.28,0.00,231.62,231.62,8.00,8.00,,
1269,2026-06-27T10:00:00+00:00,wet,282.66,5.27,1130.64,1130.64,0.00,232.89,232.89,4.00,4.00,,
1270,2026-06-27T10:30:00+00:00,wet,282.66,3.13,1130.64,1130.64,0.00,232.02,232.02,4.00,4.00,,
1271,2026-06-27T11:00:00+00:00,wet,282.66,3.25,1130.64,1130.64,0.00,231.27,231.27,4.00,4.00,,
1272,2026-06-27T11:30:00+00:00,wet,282.66,3.22,0.00,0.00,0.00,234.49,234.49,0.00,0.00,,
1273,2026-06-27T12:00:00+00:00,wet,283.90,3.59,1135.60,1135.60,0.00,234.08,234.08,4.00,4.00,,
1274,2026-06-27T12:30:00+00:00,wet,283.90,3.45,1135.60,1135.60,0.00,233.53,233.53,4.00,4.00,,
1275,2026-06-27T13:00:00+00:00,wet,283.90,3.59,1135.60,1135.60,0.00,233.12,233.12,4.00,4.00,,
1276,2026-06-27T13:30:00+00:00,wet,283.90,3.59,1135.60,1135.60,0.00,232.71,232.71,4.00,4.00,,
1277,2026-06-27T14:00:00+00:00,wet,283.90,3.50,1135.60,2271.20,1135.60,232.21,228.21,4.00,8.00,,
1278,2026-06-27T14:30:00+00:00,wet,283.90,3.57,1135.60,0.00,-1135.60,231.78,231.78,4.00,0.00,,
1279,2026-06-27T15:00:00+00:00,wet,283.90,3.56,1135.60,1135.60,0.00,231.34,231.34,4.00,4.00,,
1280,2026-06-27T15:30:00+00:00,wet,283.90,3.43,0.00,3406.80,3406.80,234.77,222.77,0.00,12.00,,
1281,2026-06-27T16:00:00+00:00,wet,302.47,5.77,2419.76,0.00,-2419.76,232.54,228.54,8.00,0.00,,
1282,2026-06-27T16:30:00+00:00,wet,302.47,5.54,1209.88,1209.88,0.00,234.08,230.08,4.00,4.00,,
1283,2026-06-27T17:00:00+00:00,wet,302.47,5.56,2419.76,2419.76,0.00,231.64,227.64,8.00,8.00,,
1284,2026-06-27T17:30:00+00:00,wet,302.47,5.62,1209.88,0.00,-1209.88,233.26,233.26,4.00,0.00,,
1285,2026-06-27T18:00:00+00:00,wet,302.47,5.95,2419.76,2419.76,0.00,231.21,231.21,8.00,8.00,,
1286,2026-06-27T18:30:00+00:00,wet,302.47,5.68,1209.88,2419.76,1209.88,232.89,228.89,4.00,8.00,,
1287,2026-06-27T19:00:00+00:00,wet,302.47,5.67,1209.88,0.00,-1209.88,234.56,234.56,4.00,0.00,,
1288,2026-06-27T19:30:00+00:00,wet,302.47,5.72,2419.76,2419.76,0.00,232.28,232.28,8.00,8.00,,
1289,2026-06-27T20:00:00+00:00,wet,277.06,5.93,1108.24,2216.48,1108.24,234.21,230.21,4.00,8.00,,
1290,2026-06-27T20:30:00+00:00,wet,277.06,5.89,2216.48,2216.48,0.00,232.10,228.10,8.00,8.00,,
1291,2026-06-27T21:00:00+00:00,wet,277.06,5.45,1108.24,0.00,-1108.24,233.55,233.55,4.00,0.00,,
1292,2026-06-27T21:30:00+00:00,wet,277.06,2.79,1108.24,2216.48,1108.24,232.34,228.34,4.00,8.00,,
1293,2026-06-27T22:00:00+00:00,wet,277.06,2.56,0.00,0.00,0.00,234.90,230.90,0.00,0.00,,
1294,2026-06-27T22:30:00+00:00,wet,277.06,2.31,1108.24,0.00,-1108.24,233.21,233.21,4.00,0.00,,
1295,2026-06-27T23:00:00+00:00,wet,277.06,2.21,1108.24,1108.24,0.00,231.42,231.42,4.00,4.00,,
1296,2026-06-27T23:30:00+00:00,wet,277.06,2.58,0.00,0.00,0.00,234.00,234.00,0.00,0.00,,
1297,2026-06-28T00:00:00+00:00,dry,228.42,0.39,0.00,0.00,0.00,234.39,234.39,0.00,0.00,,
1298,2026-06-28T00:30:00+00:00,dry,228.42,0.17,0.00,0.00,0.00,234.56,234.56,0.00,0.00,,
1299,2026-06-28T01:00:00+00:00,dry,228.42,0.45,913.68,913.68,0.00,231.01,231.01,4.00,4.00,,
1300,2026-06-28T01:30:00+00:00,dry,228.42,0.47,0.00,0.00,0.00,231.48,231.48,0.00,0.00,,
1301,2026-06-28T02:00:00+00:00,dry,228.42,0.44,0.00,0.00,0.00,231.92,231.92,0.00,0.00,,
1302,2026-06-28T02:30:00+00:00,dry,228.42,0.41,0.00,0.00,0.00,232.33,232.33,0.00,0.00,,
1303,2026-06-28T03:00:00+00:00,dry,228.42,0.21,0.00,0.00,0.00,232.54,232.54,0.00,0.00,,
1304,2026-06-28T03:30:00+00:00,dry,228.42,0.17,0.00,1827.36,1827.36,232.71,224.71,0.00,8.00,,
1305,2026-06-28T04:00:00+00:00,dry,257.37,0.22,0.00,0.00,0.00,232.93,224.93,0.00,0.00,,
1306,2026-06-28T04:30:00+00:00,dry,257.37,0.38,0.00,0.00,0.00,233.31,225.31,0.00,0.00,,
1307,2026-06-28T05:00:00+00:00,dry,257.37,0.30,0.00,0.00,0.00,233.61,225.61,0.00,0.00,,
1308,2026-06-28T05:30:00+00:00,dry,257.37,1.73,1029.48,0.00,-1029.48,231.34,227.34,4.00,0.00,,
1309,2026-06-28T06:00:00+00:00,dry,257.37,1.85,0.00,0.00,0.00,233.19,229.19,0.00,0.00,,
1310,2026-06-28T06:30:00+00:00,dry,257.37,1.58,0.00,0.00,0.00,234.77,230.77,0.00,0.00,,
1311,2026-06-28T07:00:00+00:00,dry,257.37,1.56,1029.48,0.00,-1029.48,232.33,232.33,4.00,0.00,,
1312,2026-06-28T07:30:00+00:00,dry,257.37,1.74,0.00,2058.96,2058.96,234.07,226.07,0.00,8.00,,
1313,2026-06-28T08:00:00+00:00,dry,282.66,1.56,1130.64,0.00,-1130.64,231.63,227.63,4.00,0.00,,
1314,2026-06-28T08:30:00+00:00,dry,282.66,1.85,0.00,0.00,0.00,233.48,229.48,0.00,0.00,,
1315,2026-06-28T09:00:00+00:00,dry,282.66,1.76,1130.64,0.00,-1130.64,231.24,231.24,4.00,0.00,,
1316,2026-06-28T09:30:00+00:00,dry,282.66,1.68,0.00,0.00,0.00,232.92,232.92,0.00,0.00,,
1317,2026-06-28T10:00:00+00:00,dry,282.66,1.65,0.00,0.00,0.00,234.57,234.57,0.00,0.00,,
1318,2026-06-28T10:30:00+00:00,dry,282.66,0.91,1130.64,1130.64,0.00,231.48,231.48,4.00,4.00,,
1319,2026-06-28T11:00:00+00:00,dry,282.66,0.75,0.00,0.00,0.00,232.23,232.23,0.00,0.00,,
1320,2026-06-28T11:30:00+00:00,dry,282.66,0.89,0.00,0.00,0.00,233.12,233.12,0.00,0.00,,
1321,2026-06-28T12:00:00+00:00,dry,283.90,0.75,0.00,0.00,0.00,233.87,233.87,0.00,0.00,,
1322,2026-06-28T12:30:00+00:00,dry,283.90,0.64,0.00,0.00,0.00,234.51,234.51,0.00,0.00,,
1323,2026-06-28T13:00:00+00:00,dry,283.90,0.74,1135.60,1135.60,0.00,231.25,231.25,4.00,4.00,,
1324,2026-06-28T13:30:00+00:00,dry,283.90,0.94,0.00,0.00,0.00,232.19,232.19,0.00,0.00,,
1325,2026-06-28T14:00:00+00:00,dry,283.90,0.66,0.00,0.00,0.00,232.85,232.85,0.00,0.00,,
1326,2026-06-28T14:30:00+00:00,dry,283.90,0.78,0.00,0.00,0.00,233.63,233.63,0.00,0.00,,
1327,2026-06-28T15:00:00+00:00,dry,283.90,0.63,0.00,0.00,0.00,234.26,234.26,0.00,0.00,,
1328,2026-06-28T15:30:00+00:00,dry,283.90,0.87,1135.60,4542.40,3406.80,231.13,219.13,4.00,16.00,,
1329,2026-06-28T16:00:00+00:00,dry,302.47,2.04,0.00,0.00,0.00,233.17,221.17,0.00,0.00,,
1330,2026-06-28T16:30:00+00:00,dry,302.47,2.03,1209.88,0.00,-1209.88,231.20,223.20,4.00,0.00,,
1331,2026-06-28T17:00:00+00:00,dry,302.47,1.72,0.00,0.00,0.00,232.92,224.92,0.00,0.00,,
1332,2026-06-28T17:30:00+00:00,dry,302.47,1.84,0.00,0.00,0.00,234.76,226.76,0.00,0.00,,
1333,2026-06-28T18:00:00+00:00,dry,302.47,1.80,1209.88,0.00,-1209.88,232.56,228.56,4.00,0.00,,
1334,2026-06-28T18:30:00+00:00,dry,302.47,1.79,0.00,0.00,0.00,234.35,230.35,0.00,0.00,,
1335,2026-06-28T19:00:00+00:00,dry,302.47,1.69,1209.88,0.00,-1209.88,232.04,232.04,4.00,0.00,,
1336,2026-06-28T19:30:00+00:00,dry,302.47,1.99,0.00,0.00,0.00,234.03,234.03,0.00,0.00,,
1337,2026-06-28T20:00:00+00:00,dry,277.06,1.88,1108.24,1108.24,0.00,231.91,231.91,4.00,4.00,,
1338,2026-06-28T20:30:00+00:00,dry,277.06,1.81,0.00,0.00,0.00,233.72,233.72,0.00,0.00,,
1339,2026-06-28T21:00:00+00:00,dry,277.06,1.85,1108.24,1108.24,0.00,231.57,231.57,4.00,4.00,,
1340,2026-06-28T21:30:00+00:00,dry,277.06,0.39,0.00,0.00,0.00,231.96,231.96,0.00,0.00,,
1341,2026-06-28T22:00:00+00:00,dry,277.06,0.55,0.00,0.00,0.00,232.51,232.51,0.00,0.00,,
1342,2026-06-28T22:30:00+00:00,dry,277.06,0.33,0.00,0.00,0.00,232.84,232.84,0.00,0.00,,
1343,2026-06-28T23:00:00+00:00,dry,277.06,0.58,0.00,0.00,0.00,233.42,233.42,0.00,0.00,,
1344,2026-06-28T23:30:00+00:00,dry,277.06,0.28,0.00,0.00,0.00,233.70,233.70,0.00,0.00,,
1345,2026-06-29T00:00:00+00:00,severe_wet_afternoon,228.42,2.03,913.68,913.68,0.00,231.73,231.73,4.00,4.00,,
1346,2026-06-29T00:30:00+00:00,severe_wet_afternoon,228.42,2.51,0.00,0.00,0.00,234.24,234.24,0.00,0.00,,
1347,2026-06-29T01:00:00+00:00,severe_wet_afternoon,228.42,2.12,913.68,913.68,0.00,232.36,232.36,4.00,4.00,,
1348,2026-06-29T01:30:00+00:00,severe_wet_afternoon,228.42,2.05,0.00,0.00,0.00,234.41,234.41,0.00,0.00,,
1349,2026-06-29T02:00:00+00:00,severe_wet_afternoon,228.42,2.50,913.68,913.68,0.00,232.91,232.91,4.00,4.00,,
1350,2026-06-29T02:30:00+00:00,severe_wet_afternoon,228.42,2.04,0.00,0.00,0.00,234.95,234.95,0.00,0.00,,
1351,2026-06-29T03:00:00+00:00,severe_wet_afternoon,228.42,2.32,913.68,1827.36,913.68,233.27,229.27,4.00,8.00,,
1352,2026-06-29T03:30:00+00:00,severe_wet_afternoon,228.42,2.21,913.68,1827.36,913.68,231.48,223.48,4.00,8.00,,
1353,2026-06-29T04:00:00+00:00,severe_wet_afternoon,257.37,2.50,0.00,0.00,0.00,233.98,225.98,0.00,0.00,,
1354,2026-06-29T04:30:00+00:00,severe_wet_afternoon,257.37,2.01,1029.48,0.00,-1029.48,231.99,227.99,4.00,0.00,,
1355,2026-06-29T05:00:00+00:00,severe_wet_afternoon,257.37,2.54,0.00,0.00,0.00,234.53,230.53,0.00,0.00,,
1356,2026-06-29T05:30:00+00:00,severe_wet_afternoon,257.37,4.67,2058.96,2058.96,0.00,231.20,227.20,8.00,8.00,,
1357,2026-06-29T06:00:00+00:00,severe_wet_afternoon,257.37,4.63,1029.48,1029.48,0.00,231.83,227.83,4.00,4.00,,
1358,2026-06-29T06:30:00+00:00,severe_wet_afternoon,257.37,4.71,1029.48,1029.48,0.00,232.54,228.54,4.00,4.00,,
1359,2026-06-29T07:00:00+00:00,severe_wet_afternoon,257.37,4.89,1029.48,1029.48,0.00,233.43,229.43,4.00,4.00,,
1360,2026-06-29T07:30:00+00:00,severe_wet_afternoon,257.37,4.87,1029.48,1029.48,0.00,234.30,230.30,4.00,4.00,,
1361,2026-06-29T08:00:00+00:00,severe_wet_afternoon,282.66,4.64,1130.64,1130.64,0.00,234.94,230.94,4.00,4.00,,
1362,2026-06-29T08:30:00+00:00,severe_wet_afternoon,282.66,4.49,2261.28,1130.64,-1130.64,231.43,231.43,8.00,4.00,,
1363,2026-06-29T09:00:00+00:00,severe_wet_afternoon,282.66,4.63,1130.64,1130.64,0.00,232.06,232.06,4.00,4.00,,
1364,2026-06-29T09:30:00+00:00,severe_wet_afternoon,282.66,4.57,1130.64,1130.64,0.00,232.63,232.63,4.00,4.00,,
1365,2026-06-29T10:00:00+00:00,severe_wet_afternoon,282.66,4.63,1130.64,1130.64,0.00,233.26,233.26,4.00,4.00,,
1366,2026-06-29T10:30:00+00:00,severe_wet_afternoon,282.66,3.30,1130.64,1130.64,0.00,232.56,232.56,4.00,4.00,,
1367,2026-06-29T11:00:00+00:00,severe_wet_afternoon,282.66,3.27,1130.64,1130.64,0.00,231.83,231.83,4.00,4.00,,
1368,2026-06-29T11:30:00+00:00,severe_wet_afternoon,282.66,9.16,2261.28,2261.28,0.00,232.99,232.99,8.00,8.00,,
1369,2026-06-29T12:00:00+00:00,severe_wet_afternoon,283.90,8.92,2271.20,2271.20,0.00,233.91,233.91,8.00,8.00,,
1370,2026-06-29T12:30:00+00:00,severe_wet_afternoon,283.90,8.90,2271.20,2271.20,0.00,234.81,234.81,8.00,8.00,,
1371,2026-06-29T13:00:00+00:00,severe_wet_afternoon,283.90,8.50,3406.80,3406.80,0.00,231.31,231.31,12.00,12.00,,
1372,2026-06-29T13:30:00+00:00,severe_wet_afternoon,283.90,8.68,2271.20,2271.20,0.00,231.99,231.99,8.00,8.00,,
1373,2026-06-29T14:00:00+00:00,severe_wet_afternoon,283.90,8.67,2271.20,3406.80,1135.60,232.66,228.66,8.00,12.00,,
1374,2026-06-29T14:30:00+00:00,severe_wet_afternoon,283.90,8.99,2271.20,1135.60,-1135.60,233.65,233.65,8.00,4.00,,
1375,2026-06-29T15:00:00+00:00,severe_wet_afternoon,283.90,8.67,2271.20,2271.20,0.00,234.32,234.32,8.00,8.00,,
1376,2026-06-29T15:30:00+00:00,severe_wet_afternoon,283.90,9.01,3406.80,4542.40,1135.60,231.33,227.33,12.00,16.00,,
1377,2026-06-29T16:00:00+00:00,severe_wet_afternoon,302.47,12.12,3629.64,2419.76,-1209.88,231.45,231.45,12.00,8.00,,
1378,2026-06-29T16:30:00+00:00,severe_wet_afternoon,302.47,12.79,3629.64,3629.64,0.00,232.24,232.24,12.00,12.00,,
1379,2026-06-29T17:00:00+00:00,severe_wet_afternoon,302.47,12.66,3629.64,3629.64,0.00,232.90,232.90,12.00,12.00,,
1380,2026-06-29T17:30:00+00:00,severe_wet_afternoon,302.47,12.54,3629.64,3629.64,0.00,233.44,233.44,12.00,12.00,,
1381,2026-06-29T18:00:00+00:00,severe_wet_afternoon,302.47,12.61,3629.64,3629.64,0.00,234.05,234.05,12.00,12.00,,
1382,2026-06-29T18:30:00+00:00,severe_wet_afternoon,302.47,12.69,3629.64,4839.52,1209.88,234.74,230.74,12.00,16.00,,
1383,2026-06-29T19:00:00+00:00,severe_wet_afternoon,302.47,4.91,2419.76,1209.88,-1209.88,231.65,231.65,8.00,4.00,,
1384,2026-06-29T19:30:00+00:00,severe_wet_afternoon,302.47,4.84,1209.88,1209.88,0.00,232.49,232.49,4.00,4.00,,
1385,2026-06-29T20:00:00+00:00,severe_wet_afternoon,277.06,4.94,1108.24,1108.24,0.00,233.43,233.43,4.00,4.00,,
1386,2026-06-29T20:30:00+00:00,severe_wet_afternoon,277.06,4.84,1108.24,1108.24,0.00,234.27,234.27,4.00,4.00,,
1387,2026-06-29T21:00:00+00:00,severe_wet_afternoon,277.06,5.20,2216.48,2216.48,0.00,231.47,231.47,8.00,8.00,,
1388,2026-06-29T21:30:00+00:00,severe_wet_afternoon,277.06,2.67,0.00,0.00,0.00,234.14,234.14,0.00,0.00,,
1389,2026-06-29T22:00:00+00:00,severe_wet_afternoon,277.06,2.28,1108.24,1108.24,0.00,232.42,232.42,4.00,4.00,,
1390,2026-06-29T22:30:00+00:00,severe_wet_afternoon,277.06,2.30,0.00,0.00,0.00,234.72,234.72,0.00,0.00,,
1391,2026-06-29T23:00:00+00:00,severe_wet_afternoon,277.06,2.25,1108.24,1108.24,0.00,232.97,232.97,4.00,4.00,,
1392,2026-06-29T23:30:00+00:00,severe_wet_afternoon,277.06,2.43,1108.24,1108.24,0.00,231.40,231.40,4.00,4.00,,
1393,2026-06-30T00:00:00+00:00,extreme_dry,228.42,0.05,0.00,0.00,0.00,231.45,231.45,0.00,0.00,,
1394,2026-06-30T00:30:00+00:00,extreme_dry,228.42,0.13,0.00,0.00,0.00,231.58,231.58,0.00,0.00,,
1395,2026-06-30T01:00:00+00:00,extreme_dry,228.42,0.05,0.00,0.00,0.00,231.63,231.63,0.00,0.00,,
1396,2026-06-30T01:30:00+00:00,extreme_dry,228.42,0.25,0.00,0.00,0.00,231.88,231.88,0.00,0.00,,
1397,2026-06-30T02:00:00+00:00,extreme_dry,228.42,0.05,0.00,0.00,0.00,231.93,231.93,0.00,0.00,,
1398,2026-06-30T02:30:00+00:00,extreme_dry,228.42,0.05,0.00,0.00,0.00,231.98,231.98,0.00,0.00,,
1399,2026-06-30T03:00:00+00:00,extreme_dry,228.42,0.17,0.00,0.00,0.00,232.15,232.15,0.00,0.00,,
1400,2026-06-30T03:30:00+00:00,extreme_dry,228.42,0.05,0.00,1827.36,1827.36,232.20,224.20,0.00,8.00,,
1401,2026-06-30T04:00:00+00:00,extreme_dry,257.37,0.05,0.00,0.00,0.00,232.25,224.25,0.00,0.00,,
1402,2026-06-30T04:30:00+00:00,extreme_dry,257.37,0.11,0.00,0.00,0.00,232.36,224.36,0.00,0.00,,
1403,2026-06-30T05:00:00+00:00,extreme_dry,257.37,0.27,0.00,0.00,0.00,232.63,224.63,0.00,0.00,,
1404,2026-06-30T05:30:00+00:00,extreme_dry,257.37,0.74,0.00,0.00,0.00,233.37,225.37,0.00,0.00,,
1405,2026-06-30T06:00:00+00:00,extreme_dry,257.37,0.66,0.00,0.00,0.00,234.03,226.03,0.00,0.00,,
1406,2026-06-30T06:30:00+00:00,extreme_dry,257.37,0.56,0.00,0.00,0.00,234.59,226.59,0.00,0.00,,
1407,2026-06-30T07:00:00+00:00,extreme_dry,257.37,0.72,1029.48,0.00,-1029.48,231.31,227.31,4.00,0.00,,
1408,2026-06-30T07:30:00+00:00,extreme_dry,257.37,0.47,0.00,0.00,0.00,231.78,227.78,0.00,0.00,,
1409,2026-06-30T08:00:00+00:00,extreme_dry,282.66,0.71,0.00,0.00,0.00,232.49,228.49,0.00,0.00,,
1410,2026-06-30T08:30:00+00:00,extreme_dry,282.66,0.66,0.00,0.00,0.00,233.15,229.15,0.00,0.00,,
1411,2026-06-30T09:00:00+00:00,extreme_dry,282.66,0.61,0.00,0.00,0.00,233.76,229.76,0.00,0.00,,
1412,2026-06-30T09:30:00+00:00,extreme_dry,282.66,0.64,0.00,0.00,0.00,234.40,230.40,0.00,0.00,,
1413,2026-06-30T10:00:00+00:00,extreme_dry,282.66,0.75,1130.64,0.00,-1130.64,231.15,231.15,4.00,0.00,,
1414,2026-06-30T10:30:00+00:00,extreme_dry,282.66,0.24,0.00,0.00,0.00,231.39,231.39,0.00,0.00,,
1415,2026-06-30T11:00:00+00:00,extreme_dry,282.66,0.40,0.00,0.00,0.00,231.79,231.79,0.00,0.00,,
1416,2026-06-30T11:30:00+00:00,extreme_dry,282.66,0.47,0.00,0.00,0.00,232.26,232.26,0.00,0.00,,
1417,2026-06-30T12:00:00+00:00,extreme_dry,283.90,0.16,0.00,0.00,0.00,232.42,232.42,0.00,0.00,,
1418,2026-06-30T12:30:00+00:00,extreme_dry,283.90,0.30,0.00,0.00,0.00,232.72,232.72,0.00,0.00,,
1419,2026-06-30T13:00:00+00:00,extreme_dry,283.90,0.14,0.00,0.00,0.00,232.86,232.86,0.00,0.00,,
1420,2026-06-30T13:30:00+00:00,extreme_dry,283.90,0.26,0.00,0.00,0.00,233.12,233.12,0.00,0.00,,
1421,2026-06-30T14:00:00+00:00,extreme_dry,283.90,0.15,0.00,0.00,0.00,233.27,233.27,0.00,0.00,,
1422,2026-06-30T14:30:00+00:00,extreme_dry,283.90,0.27,0.00,0.00,0.00,233.54,233.54,0.00,0.00,,
1423,2026-06-30T15:00:00+00:00,extreme_dry,283.90,0.43,0.00,0.00,0.00,233.97,233.97,0.00,0.00,,
1424,2026-06-30T15:30:00+00:00,extreme_dry,283.90,0.39,0.00,2271.20,2271.20,234.36,226.36,0.00,8.00,,
1425,2026-06-30T16:00:00+00:00,extreme_dry,302.47,0.61,0.00,0.00,0.00,234.97,226.97,0.00,0.00,,
1426,2026-06-30T16:30:00+00:00,extreme_dry,302.47,0.84,1209.88,0.00,-1209.88,231.81,227.81,4.00,0.00,,
1427,2026-06-30T17:00:00+00:00,extreme_dry,302.47,0.71,0.00,0.00,0.00,232.52,228.52,0.00,0.00,,
1428,2026-06-30T17:30:00+00:00,extreme_dry,302.47,0.84,0.00,0.00,0.00,233.36,229.36,0.00,0.00,,
1429,2026-06-30T18:00:00+00:00,extreme_dry,302.47,0.75,0.00,0.00,0.00,234.11,230.11,0.00,0.00,,
1430,2026-06-30T18:30:00+00:00,extreme_dry,302.47,0.79,0.00,0.00,0.00,234.90,230.90,0.00,0.00,,
1431,2026-06-30T19:00:00+00:00,extreme_dry,302.47,0.75,1209.88,0.00,-1209.88,231.65,231.65,4.00,0.00,,
1432,2026-06-30T19:30:00+00:00,extreme_dry,302.47,0.82,0.00,0.00,0.00,232.47,232.47,0.00,0.00,,
1433,2026-06-30T20:00:00+00:00,extreme_dry,277.06,0.65,0.00,0.00,0.00,233.12,233.12,0.00,0.00,,
1434,2026-06-30T20:30:00+00:00,extreme_dry,277.06,0.86,0.00,0.00,0.00,233.98,233.98,0.00,0.00,,
1435,2026-06-30T21:00:00+00:00,extreme_dry,277.06,0.81,0.00,0.00,0.00,234.79,234.79,0.00,0.00,,
1436,2026-06-30T21:30:00+00:00,extreme_dry,277.06,0.05,0.00,0.00,0.00,234.84,234.84,0.00,0.00,,
1437,2026-06-30T22:00:00+00:00,extreme_dry,277.06,0.08,0.00,0.00,0.00,234.92,234.92,0.00,0.00,,
1438,2026-06-30T22:30:00+00:00,extreme_dry,277.06,0.15,1108.24,1108.24,0.00,231.07,231.07,4.00,4.00,,
1439,2026-06-30T23:00:00+00:00,extreme_dry,277.06,0.12,0.00,0.00,0.00,231.19,231.19,0.00,0.00,,
1440,2026-06-30T23:30:00+00:00,extreme_dry,277.06,0.26,0.00,0.00,0.00,231.45,231.45,0.00,0.00,,
